drug_name,
TMPSMX,
SYNTHROID,966158.0
WELLBUTRIN,993545.0
SLOWK,
ROBINUL,205885.0
LEPONEX  CLOZARIL CLOZAPINE,
PRANLUKAST,134906.0
TANATRIL,
PROGRAF,108513.0
ENDOXAN  CYCLOPHOSPHAMIDE,102948.0
ALBUMIN TANNATE,828529.0
LAMPREN,206062.0
VOLTAREN,855635.0
DARVOCET,849692.0
XANAX,141927.0
VALIUM,104699.0
MEPERIDINE,861447.0
ACETAMINOPHEN  PROPOXYPHENE NAPSYLATE,198440.0
DAONIL,203296.0
LASIX,200801.0
ADALAT,672916.0
ROHYPNOL,
AMARYL,153591.0
ANTIHYPERLIPIDEMIA DRUG,
LOXONIN,
INDERAL,856462.0
MYONAL,
DIFLUCAN,1721839.0
METHYCOBAL,
SINGULAIR,153892.0
CELESTENE,
ZYRTEC,1020021.0
HABEKACIN,
ANTIBIOTICS,901.0
MOTRIN,544393.0
HERBAL NOS,237975.0
VIREAD,1243346.0
TYLENOL,209459.0
VITAMIN D,412113.0
RESTAMIN,
HALDOL,1719669.0
SODIUM THIOSULFATE,545626.0
GEMZAR,1719013.0
ZANTAC,827189.0
MS CONTIN,892560.0
TARDYFERON B,
TEGRETOL,308971.0
VALTREX,212448.0
HEPATITIS B VIRUS VACCINE,26744.0
SALINE,707251.0
ABILIFY,1602604.0
FOSAMPRENAVIR CALCIUM,402109.0
RADIATION THERAPY,
BACTRIM DS,208416.0
LEDERTREXATE,
MEDROL,834023.0
ADVAIR HFA,896237.0
CLARITH,197517.0
ZITHROMAC,
GLUCOBAY,
FOSAMAX,904399.0
NACL,312988.0
AKINETON,857397.0
ADVAIR DISKUS,896237.0
DEPOPROVERA,202886.0
ATACAND,577785.0
SENNA,998740.0
STOOL SOFTNER,1115005.0
PERCOCET,42844.0
NEXIUM,606728.0
RANITIDINE HCL,198191.0
INFLIXIMAB RECOMBINANT,191831.0
CALCITONIN SALMON,313919.0
ABACAVIR SULFATE,242679.0
ARIMIDEX,151124.0
IRON,24909.0
BENZTROPEINE,
CALTRATE,1442443.0
IMMUNOSUPPRESSANT,5748.0
VOLTARENE,107306.0
UNSPECIFIED INGREDIENT,8610.0
GANCICLOVIR SODIUM,4678.0
RITALIN,224917.0
CELEXA,261342.0
TAXOTERE,1860486.0
PERITONEAL DIALYSIS,103997.0
NIFEDICAL XL,351438.0
KLORCON,
AUGMENTIN,617333.0
PARIET,33936.0
UNSPECIFIED BIOLOGIC AGENT,8610.0
INTERFERON ALFAA,545289.0
COTRIMOXAZOLE,10831.0
BUSPAR,866088.0
VENTOLIN HFA,859088.0
AMBIEN,854875.0
ENBREL,261105.0
KENACORTA,
PRIMIDON,198150.0
PARAAMINOSALICYLIC ACID,
IMURAN,105611.0
ENCORTON,
ZOCOR,104490.0
MYCOPHENOLIC ACID,7145.0
CLOMIPHENE,1093060.0
ZOMETA,1114087.0
ASPIRIN BAYER,308416.0
MYLEPSIN,
AMOXICLAV,
SANDIMMUN,212957.0
CLONT METRONIDAZOLE,
KALINOR CITRIC ACIDPOTASSIUM BICARBONATEPOTASSIUM CITRATE,
PERFALGAN,707967.0
THERARUBICIN,
LUSTRAL,82728.0
ADRIAMYCIN,1790080.0
MITOXANTRONE HCL,197989.0
DOXORUBICIN HCL LIPOSOME,1191138.0
IMITREX,860088.0
SUMATRIPTAN SOLUTION FOR INJECTION IN PREFILLED PEN,313161.0
CRESTOR,859421.0
UNSPECIFIED MEDICATION,8610.0
ALEVE,849728.0
TRILEPTAL,351992.0
LOVAZA,607044.0
FLUANXOL,4449.0
DOXORUBICIN HYDROCHLORIDE LIPOSOME,1191138.0
LITHIUM,197889.0
LYRICA,898718.0
CYMBALTA,596928.0
CLEOCIN T,1737582.0
CLARITIND  HOUR,
BENADRYL,1294592.0
OMEPRAL,
HERBESSER,
OSTRAM D,
SEROPRAM B,
COENZYME Q,252761.0
AMINO ACIDS NOS,582299.0
PROGYNOVA,224963.0
MIXTARD HUMAN,
SEROPRAM,
DIPHTHERIA AND TETANUS TOXOIDS,3510.0
HEPATITIS A VACCINE,26744.0
BETA BLOCKING AGENTS,197407.0
BYSTOLIC,751616.0
BUSPAR BUSPIRONE HYDROCHLORIDE,866088.0
CEFMETAZON,
MAXIPIME,1665095.0
IRINOTECAN HCL,1726324.0
LOPEMIN,
CORTICOSTEROID,124802.0
SANDIMMUNE,212957.0
SERETIDE,
SEPTRIN,202808.0
DOPAMINE,1292887.0
TAVANIC,
EPOETIN BETA,105694.0
TRYPTANOL,42940.0
ALDACTONE A,200817.0
SOLUCORTEF,
PROPANOL,1362872.0
IRON SUPPLEMENT,24909.0
LOPID,202999.0
METOCLOPRAMIDE HCL,311666.0
RISPERDAL,706825.0
GAVISCON,1251365.0
